K,MSE,ITERATIONS,EXECUTION TIME
2,252.64739798215675,734,1.1981496810913086
3,234.91528811142098,1563,1.441807746887207
4,220.18154617272359,1477,1.138171911239624
5,206.70424777240424,1314,0.898289680480957
6,197.31423080106032,1225,0.7548518180847168
7,188.86141208884092,973,0.6198482513427734
8,182.63751860697928,773,0.5150797367095947
9,176.89113270466507,701,0.4903602600097656
10,172.6523522163527,649,0.47486042976379395
11,169.03688978099547,582,0.4450538158416748
12,165.72125402747102,503,0.4158935546875
13,162.38858171200914,472,0.4139585494995117
14,159.36058647359596,478,0.419954776763916
15,156.46695090129606,436,0.40519070625305176
16,153.9915018184485,408,0.38039088249206543
17,151.54416283855403,368,0.3579111099243164
18,149.2759033245914,365,0.3562469482421875
19,147.2263533325538,351,0.365283727645874
20,145.23545979325795,360,0.373309850692749
21,143.21680119539218,337,0.356738805770874
22,141.35213645673974,297,0.32972288131713867
23,139.60973876563395,268,0.3103466033935547
24,137.86403640457854,287,0.32005953788757324
25,136.20160096649366,292,0.3448605537414551
26,134.45255565098972,293,0.3796963691711426
27,132.88441725960917,271,0.34201741218566895
28,131.36708311789153,268,0.34811854362487793
29,130.10447201526836,222,0.3093385696411133
30,128.8764443331595,245,0.32969021797180176
31,127.639803670704,235,0.33504199981689453
32,126.49868809349627,206,0.310624361038208
33,125.31972366619453,244,0.3496420383453369
34,124.1782692510718,209,0.31673526763916016
35,122.9337853365702,185,0.29478955268859863
36,121.87016765629194,214,0.3302891254425049
37,120.7867122407734,216,0.33632612228393555
38,119.62014647694963,230,0.3570592403411865
39,118.5397099707918,209,0.3347766399383545
40,117.39744582166625,189,0.31502223014831543
41,116.37062062656328,182,0.3251523971557617
42,115.33915191406865,189,0.33480358123779297
43,114.24924826462933,178,0.3254508972167969
44,113.19317992361256,218,0.35881567001342773
45,112.16380921976008,179,0.33589863777160645
46,111.14954182174696,202,0.35503697395324707
47,110.18267810838938,194,0.3600425720214844
48,109.24782497427718,184,0.3468794822692871
49,108.2681172911536,187,0.35379767417907715
50,107.35541909028585,194,0.36415934562683105
